ID,Pedigree,DYSKIN,EASPIN,EPPIN,PLHTIN,PLHTUN,PLSTIN,STRCO1,STRCO2,STRRAT1,STRRAT2,YLDIN
117,Z.diplo.BC4-290,59.625,2.813,0.84133,122.250,129.125,15.625,1.375,3.000,2.750,4.250,1966.850
118,Z.diplo.BC4-472,63.750,2.625,0.81197,127.000,130.625,16.500,13.875,24.250,3.500,5.750,1787.690
119,5057,49.877,4.563,0.12139,90.500,114.750,15.500,45.625,61.875,7.875,8.625,264.060
120,(TZLComp. 1 C6-W-11-1-2)-B-B,67.250,3.500,0.54505,133.750,145.625,16.750,14.250,28.875,4.750,6.750,827.730
121,(TZLComp. 1 C6-W-16-1-1)-B-B,64.000,2.188,0.89118,147.625,164.125,15.875,12.375,19.375,2.625,4.250,3772.990
122,(TZLComp. 1 C6-W-34-1-1)-B-B,61.250,3.000,0.7917,135.625,142.750,15.500,25.625,29.875,5.000,6.625,1798.290
123,(TZLComp. 1 C6-W-39-1-1)-B-B,64.250,2.000,0.95798,148.125,152.250,16.250,17.500,24.875,2.500,4.750,3358.700
124,(TZLComp. 1 C6-W-44-1-1)-B-B,68.750,3.750,0.54388,133.375,151.000,16.125,29.625,62.500,4.125,6.625,1018.260
125,(TZLComp. 1 C6-W-50-1-1)-B-B,67.250,2.875,0.92069,144.625,163.750,16.000,14.125,27.000,5.000,6.625,1620.730
126,(TZLComp. 1 C6-W-82-1-3)-B-B,64.375,3.000,0.8857,122.875,136.500,15.125,13.250,29.125,4.250,5.875,2393.810
127,(TZLComp. 1 C6-W-143-1-1)-B-B,64.000,2.313,0.96284,141.125,150.500,16.250,8.625,12.375,2.625,4.000,2962.410
128,(((TZL COMP1-W C6*2/(White DT STR Syn))-DT C1-6-1-1)-B-B,65.500,3.438,0.72603,115.625,145.000,16.000,62.875,75.125,4.500,6.625,1480.780
129,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -21-1-2)-B-B,63.375,3.125,0.8344,144.625,166.000,15.750,38.875,50.250,4.000,5.875,1747.740
130,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -135-1-2)-B-B,61.331,3.000,0.72518,143.875,161.000,16.125,20.500,31.750,5.125,7.125,1952.190
131,(((IWD C3 SYN*2/(White DT STR Syn))-DT C1 -168-1-2)-B-B,64.331,3.313,0.58555,96.375,109.000,13.750,43.500,64.750,5.375,7.125,1022.260
